               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.008273,           0.0042399,           0.0029446,             0.49962,             0.58514,             0.56272,              0.3027,           0.0091924,           0.0038882,           0.0032667,           0.0051684,           0.0051684,           0.0051684
                  87,           0.0081368,           0.0042199,           0.0031042,              0.5878,             0.59017,              0.5776,             0.33757,           0.0091722,           0.0038848,           0.0033986,           0.0050866,           0.0050866,           0.0050866
                  88,           0.0081468,           0.0042732,           0.0031505,             0.56348,             0.58257,             0.55618,             0.32796,            0.009071,           0.0038593,            0.003273,           0.0050052,           0.0050052,           0.0050052
                  89,           0.0082477,            0.004332,           0.0029591,             0.55359,             0.60855,             0.56493,             0.32884,            0.009124,           0.0038926,            0.003264,           0.0049243,           0.0049243,           0.0049243
                  90,           0.0080821,           0.0042986,            0.002692,             0.54314,             0.61967,             0.58147,             0.33986,           0.0091845,           0.0038873,            0.003217,           0.0048439,           0.0048439,           0.0048439
                  91,           0.0081638,           0.0043672,           0.0030974,             0.56348,             0.58218,             0.56626,             0.33421,           0.0090171,           0.0038683,           0.0031825,           0.0047639,           0.0047639,           0.0047639
                  92,           0.0081263,           0.0041033,           0.0030098,             0.54786,             0.54458,             0.55501,             0.32505,           0.0091893,            0.003884,           0.0032966,           0.0046845,           0.0046845,           0.0046845
                  93,           0.0078509,           0.0041337,           0.0030618,             0.58192,              0.5283,             0.55144,             0.31478,           0.0092519,           0.0038878,           0.0033497,           0.0046057,           0.0046057,           0.0046057
                  94,             0.00797,           0.0044198,           0.0029256,             0.59943,             0.54491,             0.55965,             0.29964,           0.0092463,           0.0038883,           0.0033483,           0.0045275,           0.0045275,           0.0045275
                  95,           0.0081031,           0.0042319,           0.0028808,             0.58075,             0.54725,             0.56392,             0.31634,           0.0092219,           0.0038838,           0.0033819,           0.0044499,           0.0044499,           0.0044499
                  96,           0.0079968,           0.0043528,           0.0029013,             0.59164,              0.5367,             0.56224,             0.32365,           0.0092707,           0.0038894,           0.0034632,           0.0043731,           0.0043731,           0.0043731
                  97,           0.0080092,           0.0042152,           0.0031244,             0.59976,             0.55741,             0.56047,             0.32991,           0.0091823,           0.0038577,           0.0033419,           0.0042969,           0.0042969,           0.0042969
                  98,           0.0078264,           0.0043027,           0.0028209,             0.62033,             0.54521,             0.56572,              0.3179,           0.0092104,           0.0038891,           0.0034052,           0.0042215,           0.0042215,           0.0042215
                  99,           0.0075938,           0.0043666,           0.0025883,             0.62409,             0.55202,             0.56821,             0.30787,           0.0092342,           0.0038761,           0.0033321,           0.0041468,           0.0041468,           0.0041468
                 100,           0.0078302,           0.0041957,           0.0029343,             0.61511,             0.51812,              0.5497,             0.31573,            0.009296,           0.0038686,           0.0033423,            0.004073,            0.004073,            0.004073
                 101,           0.0076928,           0.0042681,           0.0028053,             0.64971,             0.52664,             0.56911,             0.30748,           0.0090635,           0.0038624,           0.0032536,               0.004,               0.004,               0.004
                 102,            0.007731,           0.0041146,           0.0029493,             0.63879,             0.52348,             0.55721,             0.30735,           0.0090552,           0.0038502,           0.0032245,           0.0039279,           0.0039279,           0.0039279
                 103,           0.0080831,            0.004416,           0.0028715,             0.66213,              0.5105,             0.57099,             0.31601,           0.0091311,           0.0038812,           0.0032578,           0.0038567,           0.0038567,           0.0038567
